question,sql,table_name
What's the total quantity reported for material '520110'?," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Material"" = '520110'; ",hanz_sales
How many unique destinations received orders in the sales data?," SELECT COUNT(DISTINCT ""Ship-to party"") AS unique_ship_to_parties_count FROM hanz_sales; ",hanz_sales
What's the average reported quantity for each material description?," SELECT ""Material-Description"", AVG(""Rpt Qty"") AS average_reported_quantity FROM hanz_sales GROUP BY ""Material-Description""; ",hanz_sales
What's the total reported quantity for ship-to party 'xxxxxxONEHU'?," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxONEHU'; ",hanz_sales
"How many orders were completed on January 5, 2022?"," SELECT COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05'; ",hanz_sales
"What's the total reported quantity for material '521110' delivered on January 5, 2022?"," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Material"" = '521110' AND ""Del.Date"" = '2022-01-05'; ",hanz_sales
What are the different material descriptions available in the sales data?," SELECT DISTINCT ""Material-Description"" FROM hanz_sales; ",hanz_sales
How many orders were delivered for each material description?," SELECT ""Material-Description"", COUNT(*) AS order_count FROM hanz_sales GROUP BY ""Material-Description""; ",hanz_sales
What's the total reported quantity for each destination?," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales GROUP BY ""Ship-to party""; ",hanz_sales
What's the average reported quantity for each material and destination combination?," SELECT ""Material"", ""Ship-to party"", AVG(""Rpt Qty"") AS average_reported_quantity FROM hanz_sales GROUP BY ""Material"", ""Ship-to party""; ",hanz_sales
How many orders were delivered for material '521110'?," SELECT COUNT(*) AS order_count FROM hanz_sales WHERE ""Material"" = '521110'; ",hanz_sales
What's the total reported quantity for orders delivered in January 2022?," SELECT SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01'; ",hanz_sales
How many distinct materials were sold?," SELECT COUNT(DISTINCT ""Material"") AS unique_materials_count FROM hanz_sales; ",hanz_sales
What's the total reported quantity for ship-to party 'xxxxxxDUNED' for each material description?," SELECT ""Material-Description"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Ship-to party"" = 'xxxxxxDUNED' GROUP BY ""Material-Description""; ",hanz_sales
How many orders were delivered for each reporting unit of measure (UOM)?," SELECT ""Reporting UOM"", COUNT(*) AS order_count FROM hanz_sales GROUP BY ""Reporting UOM""; ",hanz_sales
What's the total reported quantity for orders delivered to each destination in January 2022?," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' GROUP BY ""Ship-to party""; ",hanz_sales
"How many orders were delivered for each material on January 5, 2022?"," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05' GROUP BY ""Material""; ",hanz_sales
What's the total reported quantity for each material delivered in January 2022?," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' GROUP BY ""Material""; ",hanz_sales
"How many orders were delivered for each destination on January 5, 2022?"," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05' GROUP BY ""Ship-to party""; ",hanz_sales
"What's the total reported quantity for each material delivered on January 5, 2022?"," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Del.Date"" = '2022-01-05' GROUP BY ""Material""; ",hanz_sales
"How many orders were delivered for material '520110' on January 5, 2022, to each destination?"," SELECT ""Ship-to party"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Material"" = '520110' AND ""Del.Date"" = '2022-01-05' GROUP BY ""Ship-to party""; ",hanz_sales
"What's the total reported quantity for each material delivered in January 2022, considering different destinations?"," SELECT ""Material"", ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE strftime('%Y', ""Del.Date"") = '2022' AND strftime('%m', ""Del.Date"") = '01' GROUP BY ""Material"", ""Ship-to party""; ",hanz_sales
How many unique destinations received material '520110'?," SELECT COUNT(DISTINCT ""Ship-to party"") AS unique_ship_to_parties_count FROM hanz_sales WHERE ""Material"" = '520110'; ",hanz_sales
What's the average reported quantity for each destination?," SELECT ""Ship-to party"", AVG(""Rpt Qty"") AS average_reported_quantity FROM hanz_sales GROUP BY ""Ship-to party""; ",hanz_sales
How many orders were delivered for materials with descriptions containing the word 'cement'?," SELECT COUNT(*) AS order_count FROM hanz_sales WHERE LOWER(""Material-Description"") LIKE '%cement%'; ",hanz_sales
What's the total reported quantity for each material containing the word 'packing' in its description?," SELECT ""Material"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE LOWER(""Material-Description"") LIKE '%packing%' GROUP BY ""Material""; ",hanz_sales
How many orders were delivered for each material where the reported quantity is greater than 10 tons?," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Rpt Qty"" > 10 GROUP BY ""Material""; ",hanz_sales
What's the total reported quantity for each destination where the reported quantity is less than 1 ton?," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Rpt Qty"" < 1 GROUP BY ""Ship-to party""; ",hanz_sales
"How many orders were delivered for each material on January 1, 2022?"," SELECT ""Material"", COUNT(*) AS order_count FROM hanz_sales WHERE ""Del.Date"" = '2022-01-01' GROUP BY ""Material""; ",hanz_sales
"What's the total reported quantity for each destination on January 1, 2022?"," SELECT ""Ship-to party"", SUM(""Rpt Qty"") AS total_reported_quantity FROM hanz_sales WHERE ""Del.Date"" = '2022-01-01' GROUP BY ""Ship-to party""; ",hanz_sales
